logFC	logCPM	PValue	FDR
gene_802	-3.67611060604403	8.96508205104712	1.74564666637201e-15	3.49129333274401e-11
gene_2236	-5.12256706951846	4.6574669724724	9.24548137808468e-14	9.24548137808468e-10
gene_548	-3.3961923742809	6.58416106326937	7.68003554218942e-13	5.12002369479295e-09
gene_1553	-5.28368530729529	4.80954818120523	1.18952734057854e-12	5.9476367028927e-09
gene_3848	3.01030706814029	9.16841632470959	1.84201734191651e-12	7.00504688117575e-09
gene_1468	-3.46468856645734	7.08843947444249	2.10151406435272e-12	7.00504688117575e-09
gene_2272	-2.8117489074923	7.1938232002848	5.1001425479433e-12	1.45718358512666e-08
gene_1950	-3.82708624895315	6.50456161863904	7.13800927428535e-12	1.78450231857134e-08
gene_3278	-3.17015865327188	6.39367579122658	2.27109658853246e-11	5.04688130784991e-08
gene_3509	-2.9859414166893	6.01570489287438	5.29497662214225e-11	9.98134439006701e-08
gene_2594	-2.99495091452203	6.89786711949145	5.48973941453685e-11	9.98134439006701e-08
gene_3420	-2.66943459070297	7.95435493348571	8.99859271868828e-11	1.49976545311471e-07
gene_3700	2.7168374978521	8.96602643785575	1.08021335480189e-10	1.66186669969522e-07
gene_165	-2.72455444276125	6.01605588881189	1.57377530459063e-10	2.2251241554122e-07
gene_3799	2.52158561328659	6.95884291312869	1.66884311655915e-10	2.2251241554122e-07
gene_1506	-2.57142182369563	8.13183110959318	1.90887964379778e-10	2.3743648180978e-07
gene_1919	-3.21118931267158	5.52073663052552	2.01821009538313e-10	2.3743648180978e-07
gene_40	-2.63417385705372	7.73092605006667	2.17250607145078e-10	2.41389563494531e-07
gene_15549	8.20388822616007	4.77828376656868	3.55440760826937e-10	3.74148169291512e-07
gene_1647	-3.40620522105515	4.97875461062934	3.94949829122645e-10	3.864012195233e-07
gene_1041	-2.79991086495318	9.16129991775652	4.05721280499465e-10	3.864012195233e-07
gene_2146	-2.8877327615523	8.19938602623532	4.45584848233489e-10	4.05077134757717e-07
gene_2893	-2.51874767471286	8.66232936412346	4.92495755849275e-10	4.14457850007198e-07
gene_3879	2.52431348374039	8.44271970168184	4.97349420008638e-10	4.14457850007198e-07
gene_3784	2.47053257141915	8.25653357911334	5.41471398667341e-10	4.33177118933873e-07
gene_3748	3.1660866175317	5.69875875433991	5.67442362159031e-10	4.36494124737716e-07
gene_3818	2.48349327320871	6.79430607057523	7.36032733911555e-10	5.45209432527078e-07
gene_3627	2.98559863179767	5.05663974270781	9.5525131241847e-10	6.7160497517125e-07
gene_3382	-2.7813785082977	6.83226372061376	9.81058006212099e-10	6.7160497517125e-07
gene_1628	-2.39159819682987	10.9254204425648	1.00740746275687e-09	6.7160497517125e-07
gene_2599	-2.43107544531545	8.38831352760289	1.19117560145895e-09	7.68500388038032e-07
gene_1419	-2.60260844876247	6.24147734006338	1.24848275496109e-09	7.80301721850684e-07
gene_3798	2.55987719337584	6.14049191654615	1.35091760099208e-09	8.18737939995199e-07
gene_3675	2.32724925762711	8.60454929523536	1.54371062723196e-09	9.08065074842332e-07
gene_1065	-5.4597161808264	5.58081228288667	1.64910147325024e-09	9.42343699000135e-07
gene_753	-2.82689983278528	5.25394594630718	1.76383939095114e-09	9.79910772750634e-07
gene_199	-2.89257115145102	6.2454778443943	1.94469325512569e-09	1.0384605175682e-06
gene_3054	-2.47261987343328	7.47464156375727	1.97307498337959e-09	1.0384605175682e-06
gene_917	-3.0455533310271	5.37479565790259	2.04361487005697e-09	1.04800762567024e-06
gene_2624	-3.34639427453966	7.4252109956942	2.12771868941634e-09	1.06385934470817e-06
gene_3754	2.55992091760975	6.14043030612883	2.23252263281418e-09	1.08903543064106e-06
gene_3767	2.41404608817897	6.73063172690106	2.51903060198602e-09	1.19953838189811e-06
gene_257	-3.13889809029897	5.28261294046751	2.71510943762239e-09	1.23918929211575e-06
gene_3820	2.64637193658522	8.89961750752621	2.72621644265466e-09	1.23918929211575e-06
gene_3781	2.36080385106176	6.64071966164379	3.00030426245945e-09	1.33346856109309e-06
gene_3844	2.37932499543735	6.8392393139983	3.16088444963929e-09	1.36185611480887e-06
gene_2653	-2.72037625645143	8.10929273989186	3.20036186980085e-09	1.36185611480887e-06
gene_1248	-2.46349049757889	6.50935143016218	3.30229944034626e-09	1.37595810014428e-06
gene_1569	-2.40738081996099	6.87147759185025	3.79372375980527e-09	1.51431817169467e-06
gene_2091	-2.90610730799153	6.19772417969376	3.83015591486621e-09	1.51431817169467e-06
gene_3722	3.3043309949764	6.48714714657335	3.8615113378214e-09	1.51431817169467e-06
gene_3705	2.36804599921406	7.07567009522715	4.28265704569098e-09	1.63274989867122e-06
gene_674	-3.20025897330399	6.56313967803128	4.32678723147874e-09	1.63274989867122e-06
gene_3885	2.44464828383879	6.77774547044004	4.53533967757865e-09	1.67975543614024e-06
gene_3746	2.42940732522884	5.83529059731526	5.07875361498668e-09	1.84681949635879e-06
gene_3827	2.31584775734823	7.64213748346738	5.47274333729336e-09	1.95455119189049e-06
gene_1677	-2.34709840671998	9.31480266920344	5.63321703300939e-09	1.96720868687359e-06
gene_3979	2.2726800398647	7.04711400111287	5.7049051919334e-09	1.96720868687359e-06
gene_3891	2.25719028261001	7.37066232900703	6.14771818982107e-09	2.06824436855599e-06
gene_911	-4.49344165163845	5.41077607084683	6.20473310566798e-09	2.06824436855599e-06
gene_3776	2.56959665541209	5.48805836418596	6.76392401248847e-09	2.21768000409458e-06
