	G1_rep1	G1_rep2	G1_rep3	G2_rep1	G2_rep2	G2_rep3
gene_1	0	0	0	0	0	0
gene_2	83	256	190	42	102	95
gene_3	214	169	208	45	67	31
gene_4	494	622	575	159	128	109
gene_5	110	239	256	19	17	35
gene_6	1	2	0	1	1	1
gene_7	65	224	150	15	41	45
gene_8	502	574	548	137	154	128
gene_9	334	337	428	87	85	68
gene_10	4	3	16	1	3	4
gene_11	39	38	43	7	30	11
gene_12	469	447	414	114	102	110
gene_13	220	169	224	71	58	65
gene_14	560	230	266	50	87	216
gene_15	420	264	347	82	90	82
gene_16	269	214	230	52	54	40
gene_17	196	182	376	27	64	28
gene_18	72	98	82	15	46	38
gene_19	10	3	0	0	6	1
gene_20	46	1	3	0	3	0
gene_21	430	220	252	78	154	63
gene_22	33	22	17	2	26	0
gene_23	0	22	4	0	0	1
gene_24	1232	0	0	1	113	42
gene_25	24	14	22	2	6	2
gene_26	91	85	45	24	23	22
gene_27	0	1	0	10	0	35
gene_28	168	231	240	67	67	52
gene_29	533	414	537	151	132	136
gene_30	17	4	0	1	2	3
gene_31	150	24	23	16	4	18
gene_32	0	1	0	2	0	3
gene_33	636	772	671	199	147	183
gene_34	3	5	5	1	12	15
gene_35	27	68	26	5	0	10
gene_36	255	196	212	37	52	55
gene_37	96	126	109	12	12	22
gene_38	8	33	11	8	1	12
gene_39	92	30	46	13	11	24
gene_40	1161	877	778	117	166	120
gene_41	283	74	32	207	203	121
gene_42	7	2	15	2	3	6
gene_43	255	354	290	75	48	57
gene_44	51	44	38	14	25	8
gene_45	10	0	12	0	0	0
gene_46	583	522	1142	253	226	260
gene_47	1	4	0	0	3	2
gene_48	8	0	2	1	2	3
gene_49	0	28	13	3	4	6
gene_50	20	7	11	2	1	2
gene_51	226	88	174	48	89	47
gene_52	9	3	0	1	0	1
gene_53	5	0	1	0	1	0
gene_54	0	0	0	0	5	0
gene_55	360	329	288	67	75	48
gene_56	441	433	334	61	97	97
gene_57	52	55	116	13	12	25
gene_58	205	277	132	6	11	62
gene_59	3508	2571	2609	558	736	586
gene_60	7	13	9	0	3	2
gene_61	1	18	93	26	0	5
gene_62	149	172	191	45	48	19
gene_63	328	304	320	71	74	84
gene_64	106	88	107	43	38	16
gene_65	25	7	70	17	36	59
gene_66	24805	21177	43280	5294	6074	10327
gene_67	129	115	121	43	28	27
gene_68	269	154	385	40	24	214
gene_69	246	190	430	84	63	85
gene_70	68	8	34	5	7	5
gene_71	1	2	11	0	0	0
gene_72	636	353	631	92	196	228
gene_73	6	11	24	2	3	0
gene_74	3	0	2	0	1	0
gene_75	6	7	2	8	0	9
gene_76	1	14	15	0	16	0
gene_77	3	0	7	1	1	0
gene_78	19	1	19	8	9	0
gene_79	210	212	259	25	45	61
gene_80	28	43	350	15	97	8
gene_81	2	13	0	1	2	3
gene_82	9	5	3	1	0	0
gene_83	246	262	302	74	64	62
gene_84	110	279	117	36	6	44
gene_85	214	178	160	37	45	59
gene_86	77	80	106	7	23	14
gene_87	150	178	180	42	44	45
gene_88	114	240	138	53	24	40
gene_89	2	1	31	1	0	1
gene_90	69	156	153	70	60	69
gene_91	326	428	272	77	61	83
gene_92	191	171	270	43	45	48
gene_93	62	63	51	11	21	12
gene_94	174	159	183	47	32	37
gene_95	854	814	816	227	219	183
gene_96	14	15	44	20	2	17
gene_97	616	559	570	123	149	165
gene_98	518	619	362	89	141	125
gene_99	99	226	63	37	67	66
gene_100	4	0	0	2	0	0
